Book;Chapter;Title
1;1;The Boy Who Lived
1;2;The Vanishing Glass
1;3;The Letters from No One
1;4;The Keeper of Keys
1;5;Diagon Alley
1;6;The Journey from Platform Nine and Three-Quarters
1;7;The Sorting Hat
1;8;The Potions Master
1;9;The Midnight Duel
1;10;Hallowe'en
1;11;Quidditch
1;12;The Mirror of Erised
1;13;Nicolas Flamel
1;14;Norbert the Norwegian Ridgeback
1;15;The Forbidden Forest
1;16;Through the Trapdoor
1;17;The Man with Two Faces
2;1;The Worst Birthday
2;2;Dobby's Warning
2;3;The Burrow
2;4;At Flourish and Blotts
2;5;The Whomping Willow
2;6;Gilderoy Lockhart
2;7;Mudbloods and Murmurs
2;8;The Deathday Party
2;9;The Writing on the Wall	31 October
2;10;The Rogue Bludger
2;11;The Duelling Club
2;12;The Polyjuice Potion
2;13;The Very Secret Diary
2;14;Cornelius Fudge
2;15;Aragog
2;16;The Chamber of Secrets
2;17;The Heir of Slytherin
2;18;Dobby's Reward
3;1;Owl Post
3;2;Aunt Marge's Big Mistake
3;3;The Knight Bus
3;4;The Leaky Cauldron
3;5;The Dementor
3;6;Talons and Tea Leaves
3;7;The Boggart in the Wardrobe
3;8;Flight of the Fat Lady
3;9;Grim Defeat
3;10;The Marauder's Map
3;11;The Firebolt
3;12;The Patronus
3;13;Gryffindor versus Ravenclaw
3;14;Snape's Grudge
3;15;The Quidditch Final
3;16;Professor Trelawney's Prediction
3;17;Cat, Rat, and Dog
3;18;Moony, Wormtail, Padfoot and Prongs
3;19;The Servant of Lord Voldemort
3;20;The Dementor's Kiss
3;21;Hermione's Secret
3;22;Owl Post Again
4;1;The Riddle House
4;2;The Scar
4;3;The Invitation
4;4;Back to the Burrow
4;5;Weasley's Wizard Wheezes
4;6;The Portkey
4;7;Bagman and Crouch
4;8;The Quidditch World Cup
4;9;The Dark Mark
4;10;Mayhem at the Ministry
4;11;Aboard the Hogwarts Express
4;12;The Triwizard Tournament
4;13;Mad-Eye Moody
4;14;The Unforgivable Curses
4;15;Beauxbatons and Durmstrang
4;16;The Goblet of Fire
4;17;The Four Champions
4;18;The Weighing of the Wands
4;19;The Hungarian Horntail
4;20;The First Task
4;21;The House-Elf Liberation Front
4;22;The Unexpected Task
4;23;The Yule Ball
4;24;Rita Skeeter's Scoop
4;25;The Egg and the Eye
4;26;The Second Task
4;27;Padfoot Returns
4;28;The Madness of Mr Crouch
4;29;The Dream
4;30;The Pensieve
4;31;The Third Task
4;32;Flesh, Blood, and Bone
4;33;The Death Eaters
4;34;Priori Incantatem
4;35;Veritaserum
4;36;The Parting of the Ways
4;37;The Beginning
5;1;Dudley Demented
5;2;A Peck of Owls
5;3;The Advance Guard
5;4;Number Twelve, Grimmauld Place
5;5;The Order of the Phoenix
5;6;The Noble and Most Ancient House of Black
5;7;The Ministry of Magic
5;8;The Hearing
5;9;The Woes of Mrs Weasley
5;10;Luna Lovegood
5;11;The Sorting Hat's New Song
5;12;Professor Umbridge
5;13;Detention with Dolores
5;14;Percy and Padfoot
5;15;The Hogwarts High Inquisitor
5;16;In the Hog's Head
5;17;Educational Decree Number Twenty-four
5;18;Dumbledore's Army
5;19;The Lion and the Serpent
5;20;Hagrid's Tale
5;21;The Eye of the Snake
5;22;St Mungo's Hospital for Magical Maladies and Injuries
5;23;Christmas on the Closed Ward
5;24;Occlumency
5;25;The Beetle at Bay
5;26;Seen and Unforeseen
5;27;The Centaur and the Sneak
5;28;Snape's Worst Memory
5;29;Career Advice
5;30;Grawp
5;31;O.W.L.S
5;32;Out of the Fire
5;33;Fight and Flight
5;34;The Department of Mysteries
5;35;Beyond the Veil
5;36;The Only One He Ever Feared
5;37;The Lost Prophecy
5;38;The Second War Begins
6;1;The Other Minister
6;2;Spinner's End
6;3;Will and Won't
6;4;Horace Slughorn
6;5;An Excess of Phlegm
6;6;Draco's Detour
6;7;The Slug Club	August
6;8;Snape Victorious
6;9;The Half-Blood Prince
6;10;The House of Gaunt
6;11;Hermione's Helping Hand
6;12;Silver and Opals
6;13;The Secret Riddle
6;14;Felix Felicis
6;15;The Unbreakable Vow
6;16;A Very Frosty Christmas
6;17;A Sluggish Memory
6;18;Birthday Surprises
6;19;Elf Tails
6;20;Lord Voldemort's Request
6;21;The Unknowable Room
6;22;After the Burial
6;23;Horcruxes
6;24;Sectumsempra
6;25;The Seer Overheard
6;26;The Cave
6;27;The Lightning Struck Tower
6;28;Flight of the Prince
6;29;The Phoenix Lament
6;30;The White Tomb
7;1;The Dark Lord Ascending
7;2;In Memoriam
7;3;The Dursleys Departing
7;4;The Seven Potters
7;5;Fallen Warrior
7;6;The Ghoul in Pyjamas
7;7;The Will of Albus Dumbledore
7;8;The Wedding
7;9;A Place to Hide
7;10;Kreacher's Tale
7;11;The Bribe
7;12;Magic is Might
7;13;The Muggle-Born Registration Commission
7;14;The Thief
7;15;The Goblinâ€™s Revenge
7;16;Godric's Hollow
7;17;Bathilda's Secret
7;18;The Life and Lies of Albus Dumbledore
7;19;The Silver Doe
7;20;Xenophilius Lovegood
7;21;The Tale of the Three Brothers
7;22;The Deathly Hallows
7;23;Malfoy Manor
7;24;The Wandmaker
7;25;Shell Cottage
7;26;Gringotts
7;27;The Final Hiding Place
7;28;The Missing Mirror
7;29;The Lost Diadem
7;30;The Sacking of Severus Snape
7;31;The Battle of Hogwarts
7;32;The Elder Wand
7;33;The Prince's Tale
7;34;The Forest Again
7;35;King's Cross
7;36;The Flaw in the Plan
7;37;Epilogue